Columns: ['Имя', 'Мощь (акт.)', 'Макс. мощь', 'Текущий ДКП', 'Цель ДКП (Мощь x2)', 'Выполнение цели %']

            Имя  Мощь (акт.)  Макс. мощь  Текущий ДКП  Цель ДКП (Мощь x2)  Выполнение цели %
      Joker不屈01     88250409    88371789    294771430           176500818         167.008535
      ECHO 不屈01     68426149    68426149    268847010           136852298         196.450490
     ToEnd 不屈01     66863719    72433421    263086060           133727438         196.733044
      Sobr 不屈01    101105438   103587698    255295250           202210876         126.251988
        Nat不屈01     93697142    93697142    156990750           187394284          83.775634
     Sebas 不屈01     39241441    39241441    149284640            78482882         190.212994
     B1KTOP不屈01     54496649    54497702    147842130           108993298         135.643322
      Minom不屈01     76793336    76793336    142127620           153586672          92.539032
Enemies RequieM     40507905    41291707    135804620            81015810         167.627306
     Wаnder不屈01     64400051    64400051    134719620           128800102         104.595895
