=======================================================
Ник                           ДКП     % нормы
-------------------------------------------------------
Joker不屈01             310,311,520      188.29%
ECHO 不屈01             285,163,470      218.20%
ToEnd 不屈01            279,700,030      223.98%
Sobr 不屈01             272,586,800      142.44%
Nat不屈01               187,750,530      117.02%
Minom不屈01             172,022,770      133.56%
Sebas 不屈01            149,284,640      197.32%
B1KTOP不屈01            147,842,130      151.93%
Wаnder不屈01            139,289,760      111.76%
Enemies RequieM         135,804,620      169.71%
HAVALI不屈01            123,491,880      192.45%
VegeTa 不屈01           122,557,170       70.39%
CôngAn不屈01            121,700,830      112.08%
Sparkメ不屈01            114,931,750      102.83%
RIP 不屈01              111,631,330      113.48%
Tn Lie 不屈01           108,521,030       85.01%
ᴰˢЛютик                 104,989,860       86.88%
Sunday不屈01            104,959,400      144.08%
Harley不屈01            102,136,050       84.69%
shmafik不屈01           101,519,720      114.89%
SL 1998不屈01            92,751,190      127.06%
不屈01 Vadim             90,382,900       82.02%
NoLik 不屈01             88,749,670       87.74%
Eisenh不屈01             86,186,620      101.23%
Antonio Montana          84,309,680      103.96%
Apell 不屈01             84,086,110       57.86%
KACTA 不屈01             81,027,450       73.73%
LawZ 不屈01              76,669,780       96.18%
SHADOW不屈01             75,762,370       96.21%
Chefˣ不屈01              74,617,740       90.99%
bumbl 不屈01             73,534,360       60.09%
HAN 不屈01               72,002,640       83.32%
Ata不屈01                71,488,720       81.15%
Davies不屈01             71,105,540       67.23%
RDT 不屈01               67,506,240       58.59%
Haggard不屈01            67,056,520       63.57%
BURNING不屈01            65,018,360       78.43%
不屈01 Moqoy             63,617,400       52.11%
BlckRetriever            63,397,020       85.32%
Filimon不屈01            60,201,180       70.00%
Aeolus 不屈01            59,632,810       69.90%
Bi   不屈01              57,097,980       74.62%
Raise 不屈01             54,278,920       64.30%
ennie不屈01              54,250,240       70.65%
Godzila不屈01            53,837,100       46.83%
miracle911               51,854,590       66.93%
Rokkki 不屈01            50,928,330       59.62%
Denis23不屈01            49,349,480       64.20%
UIA 不屈01               47,733,040       69.65%
Baldwin不屈01            45,909,560       39.01%
Dasvidos                 44,741,090       40.31%
Âsh 不屈01               44,079,310       62.37%
Asya不屈01               43,606,390       56.66%
Raflyn不屈01             41,772,820       52.90%
Khuga 不屈01             41,630,680       52.32%
Kerji不屈01              40,933,250       35.19%
Andreev不屈01            40,490,700       40.82%
ᴹᴿ不屈01                 39,836,470       55.53%
Yarilo 不屈01            39,451,570       47.19%
FC 不屈 01               38,995,330       33.97%
Stormy不屈01             37,088,910       32.73%
WhyMee 不屈01            36,925,230       52.18%
Łiš 不屈01               36,906,790       51.70%
Ðraven不屈01             34,028,490       41.56%
Rado不屈01               33,969,900       41.83%
Geo 不屈01               33,563,090       23.74%
EDİ不屈01                33,371,120       40.54%
Ivan 不屈01              32,544,850       55.74%
JaviEc不屈01             30,748,360       46.71%
ANGEL 不屈01             30,535,870       43.78%
ᶫSLIOTE                  30,283,810       25.05%
Revenor不屈01            29,717,830       40.58%
KanekiI不屈01            29,342,370       47.08%
Beef不屈01               29,262,820       31.93%
Solntse不屈01            29,192,500       23.56%
Maks不屈01               28,919,720       36.62%
miniWDR不屈01            28,197,370       37.47%
EmreOpt不屈01            28,019,950       37.71%
ota 不屈01               27,830,540       37.56%
ORCA 不屈01              27,503,000       36.45%
Paryss不屈01             27,209,160       38.57%
Ragnar 不屈01            27,207,680       33.22%
Camorra不屈01            27,037,340       24.70%
Heart不屈01              26,939,020       23.96%
GMonWon不屈01            26,729,180       45.71%
Toji  不屈01             25,850,880       29.21%
Drogon 不屈01            25,643,500       29.39%
York 不屈01              25,206,030       39.16%
RaZhul不屈01             25,176,660       35.57%
Breezey不屈01            24,705,650       19.28%
Latias 不屈01            23,446,980       31.74%
Đức 不屈01               22,983,100       29.64%
DubasiK不屈01            22,919,240       25.24%
Lan不屈01                22,766,580       26.89%
ᴱᵛᵃ                      22,515,540       34.07%
Haibuj                   21,694,810       28.12%
Storm13不屈01            21,246,520       25.70%
Coffy 不屈01             20,868,990       24.26%
Èrebo不屈01              20,753,060       29.91%
Beerus 不屈01            19,444,580       31.34%
不屈01ElCari             19,228,980       22.28%
MOツALI                  18,196,150       25.15%
不屈01 ANTIK             17,600,120       27.25%
Heo不屈01                17,284,000       22.56%
Wojstaz不屈01            17,015,300       25.42%
Abi 不屈01               16,617,420       25.25%
不屈01 Cas               16,578,640       21.57%
不屈01 VESTOS            16,445,940       25.80%
janny不屈01              15,670,340       22.99%
SmokCat不屈01            15,550,020       23.65%
TJUN不屈01               14,315,700       23.89%
Kroshka不屈01            14,067,400       17.43%
Refally不屈01            13,517,880       15.89%
Arcona不屈01             11,636,970       11.28%
阴阳 GØD                 11,077,270       17.62%
ẮIS 不屈01               11,038,260       14.14%
MÖ ÄLÏ 屈01              10,196,020       15.53%
Nоx不屈01                 9,937,360       10.49%
MARSHO 不屈01             8,537,290       10.24%
Sittenpitti 1             8,496,660       28.94%
Grgır不屈01               8,387,100       13.46%
Governor110439383         7,073,770       63.60%
Black 不屈01              6,731,040        9.13%
SEyübi不屈01              6,721,400       10.18%



Harper 不屈01             5,713,200       10.43%
Gⱽⁿ不屈01                 5,350,140        7.18%
Orhan 不屈01              4,898,590        6.80%
ʟucid不屈01               4,890,890        8.38%
RequieM Bank              4,766,420       13.78%
阴阳 rayquaza             4,323,520        8.18%
ParaDOX不屈01             2,481,520        3.46%
ᴳᴮYODA Noel               1,224,180       10.44%
