=== ЭКСПОРТ ДКП | 10.06.2026 22:21:05 ===
Диапазон мест: с 1 по 1027
Всего игроков: 1027
========================================================================================================================

Ник: Joker不屈01 | Убийства T4: 12 977 487 | Убийства T5: 8 249 828 | Всего убийств (T4+T5): 21 227 315 | Смерти T4: 0 | Смерти T5: 518 003 | Всего смертей (T4+T5): 518 003 | Вылечено:  | ДКП: 310 311 520
Ник: ECHO 不屈01 | Убийства T4: 18 509 037 | Убийства T5: 4 187 832 | Всего убийств (T4+T5): 22 696 869 | Смерти T4: 0 | Смерти T5: 543 882 | Всего смертей (T4+T5): 543 882 | Вылечено:  | ДКП: 285 163 470
Ник: ToEnd 不屈01 | Убийства T4: 14 681 915 | Убийства T5: 5 743 933 | Всего убийств (T4+T5): 20 425 848 | Смерти T4: 46 275 | Смерти T5: 553 799 | Всего смертей (T4+T5): 600 074 | Вылечено:  | ДКП: 279 700 030
Ник: Sobr 不屈01 | Убийства T4: 14 366 295 | Убийства T5: 5 581 615 | Всего убийств (T4+T5): 19 947 910 | Смерти T4: 0 | Смерти T5: 576 385 | Всего смертей (T4+T5): 576 385 | Вылечено:  | ДКП: 272 586 800
Ник: Nat不屈01 | Убийства T4: 8 695 143 | Убийства T5: 3 501 966 | Всего убийств (T4+T5): 12 197 109 | Смерти T4: 0 | Смерти T5: 1 025 326 | Всего смертей (T4+T5): 1 025 326 | Вылечено:  | ДКП: 187 750 530
Ник: Minom不屈01 | Убийства T4: 7 703 780 | Убийства T5: 3 254 491 | Всего убийств (T4+T5): 10 958 271 | Смерти T4: 0 | Смерти T5: 996 505 | Всего смертей (T4+T5): 996 505 | Вылечено:  | ДКП: 172 022 770
Ник: Sebas 不屈01 | Убийства T4: 9 131 152 | Убийства T5: 2 333 360 | Всего убийств (T4+T5): 11 464 512 | Смерти T4: 376 864 | Смерти T5: 0 | Всего смертей (T4+T5): 376 864 | Вылечено:  | ДКП: 149 284 640
Ник: B1KTOP不屈01 | Убийства T4: 6 524 829 | Убийства T5: 2 949 291 | Всего убийств (T4+T5): 9 474 120 | Смерти T4: 786 934 | Смерти T5: 0 | Всего смертей (T4+T5): 786 934 | Вылечено:  | ДКП: 147 842 130
Ник: Wаnder不屈01 | Убийства T4: 8 416 608 | Убийства T5: 2 316 711 | Всего убийств (T4+T5): 10 733 319 | Смерти T4: 140 644 | Смерти T5: 152 338 | Всего смертей (T4+T5): 292 982 | Вылечено:  | ДКП: 139 289 760
Ник: Enemies RequieM | Убийства T4: 11 445 550 | Убийства T5: 1 067 456 | Всего убийств (T4+T5): 12 513 006 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 135 804 620
Ник: HAVALI不屈01 | Убийства T4: 8 110 299 | Убийства T5: 1 153 368 | Всего убийств (T4+T5): 9 263 667 | Смерти T4: 644 051 | Смерти T5: 0 | Всего смертей (T4+T5): 644 051 | Вылечено:  | ДКП: 123 491 880
